L= 50  beta= 1.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
4.6	-55.391135475826125	-0.5577346221824935	31638476831897383e-28	-21925769929892026e-21	12034708099373145e-24
4.65	-55.391138683809174	-0.5578227854875375	10814592229819054e-27	-21906738140011587e-21	16799790662596176e-24
4.7	-55.39113568762799	-0.5579310009319443	28561510363346175e-27	-2188342011198963e-20	2330141964178193e-23
4.75	-55.391126935576594	-0.5580434485027412	6389242009710594e-26	-21855261383932375e-21	32250636069816094e-24
4.8	-55.39111340802788	-0.558144747117326	1259864371827541e-25	-21822617535696226e-21	44558361666186497e-24
4.85	-55.39109656747347	-0.5582224632557667	22416862388636885e-26	-2178692525018712e-20	6141067135455533e-23
4.9	-55.391078278133385	-0.5582691121330088	36610479619307503e-26	-2174980923330415e-20	842671655395574e-22
4.95	-55.3910606953352	-0.5582833656300332	5563184335569745e-25	-2171232345943143e-20	11476523030140299e-23
5	-55.39104613210536	-0.558270310991579	7950411121481859e-25	-2167481255926588e-20	15462987068436247e-23

L= 50  beta= 2.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
0.05	-61.5799943967735	-0.619064151756637	5181619022742723e-29	-0.004914890325351964	18813693156996847e-35
0.1	-61.65320749357038	-0.6191014768694076	4564187569555678e-29	-0.004913711137078343	25659860440159573e-35
0.15	-61.79604156765786	-0.6192048233482041	45438479367998497e-30	-0.004912114912513447	3670417366620103e-34
0.2	-62.04395113057025	-0.6194422540954376	3626005745660521e-29	-0.004909663893749333	22733836965196827e-35
0.25	-62.424491932040226	-0.6199257190729606	31047213411294905e-30	-0.004905597922949705	3717249467682477e-34
0.3	-62.936226466116075	-0.6208156459432694	23859386688585005e-30	-0.0048987571144517225	38119981043284213e-35
0.35	-63.52907567577502	-0.6223068847396112	2760248626887396e-29	-0.004887611856445471	39976561848413147e-35
0.4	-64.10085736098475	-0.6245880813953764	19562910319459448e-30	-0.004870493772918738	33876665148927223e-35
0.45	-64.52084405135669	-0.6277775843871982	15671491881974475e-30	-0.004846064641274903	35192002427236686e-35
0.5	-64.67613495336624	-0.631854813188216	13546455623902887e-30	-0.00481390429558715	272466296861858e-33
0.55	-64.51933745028356	-0.636616636411516	1458208553906104e-29	-0.0047749282145179185	25573512179737905e-35
0.6	-64.09059936545138	-0.641683538496309	18385900441009184e-30	-0.004731350668029391	30693023066564345e-35
0.65	-63.50028584477633	-0.6465598236141299	2846421015556544e-29	-0.004686164834388428	1629065724750256e-34
0.7	-62.88235036907248	-0.6507280871935233	33591619069683887e-30	-0.004642415273841361	16072849115846526e-35
0.75	-62.345106624903075	-0.6537458150070576	346005776113989e-28	-0.004602610836765098	35282249724355457e-35
0.8	-61.94376876066101	-0.6553165666091194	34944703380945796e-30	-0.004568445485056883	32705077351892063e-35
0.85	-61.68182522717734	-0.6553231016599044	3726099290224383e-29	-0.004540779790075389	10912607876808045e-35
0.9	-61.531022172163546	-0.6538245207612795	35039028969952035e-30	-0.0045197556396511865	25679346761068645e-35
0.95	-61.45397693922979	-0.6510277287991837	4948537239701789e-29	-0.004504951174868157	3745825796975722e-34
1	-61.41890467848226	-0.6472449787711951	6567381187483345e-29	-0.004495538061606373	3815461689290941e-34
1.05	-61.404644543553744	-0.6428468750202807	6901705769390976e-29	-0.004490431566719047	3078619255696142e-34
1.1	-61.39946395201851	-0.638217051531496	800238781489826e-28	-0.004488429281604218	3873420397453613e-34
1.15	-61.39778878236596	-0.6337123833485852	8657007402601558e-29	-0.004488333785276932	3681486679206414e-34
1.2	-61.39731286819044	-0.6296312309772432	9996690975011546e-29	-0.004489054384754205	3958838420809058e-34
1.25	-61.39719660104302	-0.6261913975843751	10097955457921692e-29	-0.004489683999628347	3815838404606175e-34
1.3	-61.397169060751416	-0.6235187286197732	1160308828185297e-28	-0.004489548365690045	4366604850077756e-34
1.35	-61.3971526426829	-0.621646399287785	12015735628700952e-29	-0.004488226497722527	35315778532054777e-35
1.4	-61.3971282029531	-0.62052395435869	11976487510056977e-29	-0.004485543601628788	42411066443169887e-35
1.45	-61.397092791117714	-0.6200342371648477	11771660035631015e-29	-0.004481540232208212	4097034001139605e-34
1.5	-61.397047917066146	-0.6200156260739205	12262369938897955e-29	-0.004476423702440366	19972464667110579e-35
1.55	-61.396996548900105	-0.6202865963080457	11735035686244455e-29	-0.004470509267664173	2954135557847073e-34
1.6	-61.3969422762903	-0.6206695909308997	10358684396361006e-29	-0.00446415902930171	307883118104672e-33
1.65	-61.39688892954132	-0.6210115078312082	996422996196733e-28	-0.00445772592608147	34639907696919203e-35
1.7	-61.39684027654637	-0.6211987320799652	10060919111709588e-29	-0.0044515087441081985	39524016790927892e-35
1.75	-61.39679973878472	-0.6211654717698117	10493277254053357e-29	-0.004445722025845196	39901415677891316e-35
1.8	-61.39677013420342	-0.6208950757306941	10065277604442979e-29	-0.004440482341227898	3764779564352094e-34
1.85	-61.396753465504744	-0.6204149033461852	8683418567523304e-29	-0.004435810446556538	3861479389617565e-34
1.9	-61.396750770994615	-0.6197860703025664	8140124858890818e-29	-0.004431646617326146	39847229646729383e-35
1.95	-61.39676205035454	-0.6190899235081093	7910707679192885e-29	-0.0044278753595091355	37680986697469184e-35
2	-61.396786271637666	-0.6184133512777923	7193638046354422e-29	-0.004424354736144425	38881537328446616e-35
2.05	-61.39682145903417	-0.6178349974927089	6392976426017327e-29	-0.004420945538519293	38943852437470193e-35
2.1	-61.39686485416848	-0.6174141455023012	5844890543782455e-29	-0.004417536072224311	4170401392965862e-34
2.15	-61.39691313760797	-0.6171835268329644	47274033646016456e-30	-0.004414059259534553	3939536988856256e-34
2.2	-61.39696269221165	-0.6171466727930515	41381611678992236e-30	-0.004410500297545101	390437234994786e-33
2.25	-61.39700988662827	-0.6172797569578603	49771384930119567e-30	-0.004406894545896518	39158313064995865e-35
2.3	-61.397051355711014	-0.6175372650295331	43917994241304825e-30	-0.004403316850779642	43193338514666997e-35
2.35	-61.39708425517192	-0.6178603538947395	43377194197669056e-30	-0.004399864558409306	40209274251975597e-35
2.4	-61.39710647020193	-0.6181864787432012	35895331845781087e-30	-0.004396637471154715	4026386100988743e-34
2.45	-61.397116761973926	-0.6184588013705645	5426323453072701e-29	-0.004393717866969045	41239041233805617e-35
2.5	-61.397114841353606	-0.6186340385798229	6275687434997845e-29	-0.0043911538277259686	4014271682976819e-34
2.55	-61.39710136541761	-0.6186877325777411	6114444887905801e-29	-0.004388948195417344	3964829315455795e-34
2.6	-61.39707785882044	-0.6186163687734749	7682136177189491e-29	-0.004387054600671621	4073817205173437e-34
2.65	-61.39704656827386	-0.6184362605142737	8077241132886659e-29	-0.00438538089761535	4145990335850614e-34
2.7	-61.397010263616565	-0.6181795922941797	7707159563330457e-29	-0.004383799232718503	4125619559643195e-34
2.75	-61.39697200306716	-0.6178883975667318	8216019010964803e-29	-0.004382161094488215	42154734939983676e-35
2.8	-61.3969348825991	-0.6176074953609334	8522934961952e-26	-0.00438031505085834	7174734540865221e-34
2.85	-61.39690179014944	-0.6173774945013446	105685859369542e-27	-0.0043781246070728995	16648549556555001e-34
2.9	-61.396875184257325	-0.6172288931793782	10827536783830638e-29	-0.004375483723859201	38997875374905935e-34
2.95	-61.39685691416592	-0.6171780764600826	11085295008317342e-29	-0.004372327999631747	9052888008496796e-33
3	-61.39684809442048	-0.6172256859726977	11101666461121873e-29	-0.004368640228930333	20562660000262004e-33
3.05	-61.39684904219763	-0.617357457994133	996869687491797e-28	-0.004364449910325122	443823691005482e-31
3.1	-61.396859280213334	-0.6175472560798355	10143448581079184e-29	-0.004359827158924747	9247097843385064e-32
3.15	-61.39687760272128	-0.6177617157404223	1064187800381422e-28	-0.004354872232312949	19142734992581335e-32
3.2	-61.39690219715524	-0.6179657130687495	11074301198288339e-29	-0.00434970240421096	38918209492468914e-32
3.25	-61.39693080980312	-0.6181277911875184	11633532678856362e-29	-0.0043444381793704846	7459431646715719e-31
3.3	-61.396960940872475	-0.6182247325536375	11187513589139275e-29	-0.004339190737283236	12993065317319996e-31
3.35	-61.39699005250935	-0.6182446366158945	10836427241645019e-29	-0.004334052213056707	2228000531141025e-30
3.4	-61.39701577294251	-0.6181881197526018	10983423372190604e-29	-0.0043290899010586135	3653086683108428e-30
3.45	-61.397036080837786	-0.6180675554308617	10927218331568955e-29	-0.004324344536508928	591212330321097e-29
3.5	-61.3970494561047	-0.6179045704165946	10670522625211287e-29	-0.004319832616786724	9493558398095978e-30
3.55	-61.39705498645808	-0.6177262636274694	10730023640437292e-29	-0.0043155518592895	15234650787453777e-30
3.6	-61.39705242286156	-0.6175607829224998	11582922121444739e-29	-0.0043114884944948535	2454111733867882e-29
