
# L= 80  beta= [2.0]  t_max= 30.0  steps= 2000,D= [60] #
t 	 E 	 mag
7.395	-76.86020247660525	-0.10849322127366762
7.41	-76.86020273369057	-0.10871865648711387
7.425	-76.86020297957755	-0.10895200858742549
7.44	-76.86020321445463	-0.10919239612324863
7.455	-76.86020343852701	-0.10943891891188527
7.47	-76.86020365201115	-0.10969066141776443
7.485	-76.86020385514175	-0.10994669616078309
7.5	-76.86020404816117	-0.11020608714178859
7.515	-76.86020423132669	-0.11046789327258508
7.53	-76.86020440490508	-0.11073117179784978
7.545	-76.86020456917075	-0.11099498169654422
7.56	-76.86020472440877	-0.11125838705054336
7.575	-76.8602048709112	-0.1115204603684249
7.59	-76.86020500897537	-0.11178028585263766
7.605	-76.86020513890418	-0.11203696259856821
7.62	-76.86020526100542	-0.1122896077143561
7.635	-76.86020537558781	-0.11253735935070777
7.65	-76.86020548296513	-0.11277937963037263
7.665	-76.86020558344991	-0.1130148574673853
7.68	-76.86020567735424	-0.1132430112666973
7.695	-76.86020576499045	-0.11346309149530359
7.71	-76.86020584666781	-0.11367438311654558
7.725	-76.860205922693	-0.11387620787982164
7.74	-76.8602059933677	-0.11406792645856409
7.755	-76.8602060589896	-0.11424894042992165
7.77	-76.86020611984918	-0.11441869409025952
7.785	-76.86020617623201	-0.11457667610122665
7.8	-76.86020622841511	-0.11472242096180732
7.815	-76.86020627666659	-0.11485551030246186
7.83	-76.86020632124703	-0.11497557399815389
7.845	-76.86020636240491	-0.11508229109772417
7.86	-76.8602064003818	-0.1151753905678297
7.875	-76.8602064354063	-0.11525465185029543
7.89	-76.8602064676966	-0.11531990523247393
7.905	-76.86020649745905	-0.11537103203088357
7.92	-76.86020652488759	-0.11540796458906605
7.935	-76.86020655016355	-0.11543068609130977
7.95	-76.86020657345756	-0.11543923019452781
7.965	-76.86020659492434	-0.11543368048121516
7.98	-76.86020661470883	-0.11541416973709438
7.995	-76.86020663294084	-0.11538087905759944
8.01	-76.8602066497379	-0.1153340367880065
8.025	-76.86020666520336	-0.11527391730254216
8.04	-76.86020667943014	-0.1152008396283708
8.055	-76.86020669249633	-0.11511516592086143
8.07	-76.86020670446908	-0.11501729979704617
8.085	-76.8602067154015	-0.11490768453460129
8.1	-76.86020672533502	-0.11478680114416259
8.115	-76.86020673430224	-0.1146551663231353
8.13	-76.8602067423224	-0.11451333029951948
8.145	-76.86020674940174	-0.11436187457464357
8.16	-76.8602067555415	-0.11420140957393582
8.175	-76.8602067607276	-0.11403257221512271
8.19	-76.86020676494353	-0.11385602340350667
8.205	-76.86020676815886	-0.1136724454640568
8.22	-76.86020677033645	-0.11348253952030889
8.235	-76.86020677143387	-0.11328702283005576
8.25	-76.86020677139999	-0.11308662608793421
8.265	-76.8602067701807	-0.11288209070504464
8.28	-76.86020676771365	-0.11267416607566691
8.295	-76.86020676393422	-0.1124636068411643
8.31	-76.86020675877339	-0.11225117016101316
8.325	-76.86020675215948	-0.11203761300080536
8.34	-76.8602067440206	-0.11182368944690202
8.355	-76.86020673427969	-0.11161014805721658
8.37	-76.86020672286217	-0.11139772925741082
8.385	-76.86020670969341	-0.11118716279146304
8.4	-76.86020669469822	-0.11097916523534372
