L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
0.96	-264.9978492319002	-0.46254486825040264	-5016447223785623e-25	3314963072386977e-34
0.965	-265.0006363079415	-0.46410018790567636	-4823919094495126e-25	33313012217492155e-35
0.97	-265.0033662289677	-0.4655940182130074	-45389265777638883e-26	3016543911265871e-34
0.975	-265.00602565702496	-0.46695906099486384	-4173595963756379e-25	3987765053129538e-34
0.98	-265.0085932657115	-0.4681357873265169	-37432252342016153e-26	33644982670685344e-35
0.985	-265.0110417424312	-0.4690750161651412	-3265624232808556e-25	3428168856786674e-34
0.99	-265.0133399895961	-0.46973993345711473	-2760361275205004e-25	3534394352226074e-34
0.995	-265.0154554354092	-0.4701074710115664	-22479472944165028e-26	39120106001846493e-35
1	-265.01735635735724	-0.4701689974446951	-1748991011530519e-25	36417885948918415e-35
1.005	-265.019014118053	-0.46993030790927864	-1283359036853089e-25	35416626796389924e-35
1.01	-265.02040521457303	-0.46941093340806195	-8693742724918682e-26	40654086412691034e-35
1.015	-265.021513048742	-0.4686428225889785	-523084206351434e-25	3493154458562854e-34
1.02	-265.0223293365674	-0.4676684775208832	-2576277841606002e-26	4025159534566163e-34
1.025	-265.0228550901981	-0.46653864875163686	-8272557186080774e-27	34687522146399103e-35
1.03	-265.02310112427665	-0.4653097129309003	-4312988547216635e-28	41272057607411656e-35
1.035	-265.02308805995153	-0.4640408677303491	-24330649451100723e-28	36691257211393373e-35
1.04	-265.02284582285284	-0.46279128334986536	-1406795036789223e-26	3873897696257842e-34
1.045	-265.0224126550311	-0.4616173475473968	-3473416860918618e-26	36061496185107973e-35
1.05	-265.02183368417025	-0.4605701322022743	-6346611422811556e-26	4267847220765282e-34
1.055	-265.02115911486965	-0.45969319456192154	-9897714275055526e-26	381077644977753e-33
1.06	-265.0204421257896	-0.45902080644989207	-13971519115190878e-26	36476012610621173e-35
1.065	-265.01973657155963	-0.4585766809667947	-1839288217285992e-25	42289514104340276e-35
1.07	-265.01909459919517	-0.4583732398905394	-22974085552288104e-26	42543608609708463e-35
1.075	-265.0185642942004	-0.45841143745788693	-27522645343719404e-26	40790280340467165e-35
1.08	-265.0181874718994	-0.4586811288817155	-3184923475832835e-25	3892228394239633e-34
1.085	-265.0179977240639	-0.45916194616502826	-35775392631725927e-26	3917346883523434e-34
1.09	-265.0180188199553	-0.45982462073079217	-3914070083788077e-25	42648533657375226e-35
1.095	-265.0182635455525	-0.4606326731354591	-41809142344268246e-26	4058682682995421e-34
1.1	-265.01873304426306	-0.4615443754837767	-43674389706298614e-26	42600163656350286e-35
1.105	-265.01941669930034	-0.46251488267082536	-44663825045051594e-26	4037908291975251e-34
1.11	-265.0202925722304	-0.46349842451913814	-447411446301577e-24	4033412487066293e-34
1.115	-265.0213283851941	-0.4644504522497721	-4390746339940601e-25	37088493544782007e-35
1.12	-265.0224830080616	-0.46532963925096704	-42200897113219347e-26	3833505109350609e-34
1.125	-265.023708386502	-0.4660996472607008	-39694657014675723e-26	4007801064873945e-34
1.13	-265.024951824617	-0.4667305841243766	-3649375375715459e-25	37852845782924326e-35
1.135	-265.0261585175748	-0.4672000973225906	-3273045788697942e-25	3721875094045693e-34
1.14	-265.02727421565294	-0.4674940674662816	-28558708861486353e-26	3824559363216484e-34
1.145	-265.02824789335426	-0.4676068868525882	-2414770617124389e-25	40849183102586534e-35
1.15	-265.02903429498156	-0.46754132888356265	-1967494360384859e-25	37976823330598685e-35
1.155	-265.0295962322924	-0.46730803364798407	-15318968198373212e-26	36512879853199815e-35
1.16	-265.02990652007327	-0.4669246523323415	-11252152857481645e-26	3945860826000453e-34
1.165	-265.0299494513383	-0.46641470758684495	-7633773690967257e-26	40794765363938814e-35
1.17	-265.0297217349763	-0.4658062379340182	-4603664754314102e-26	38165649730781823e-35
1.175	-265.02923284337055	-0.46513030138069744	-22767047150755545e-27	3359067554018568e-34
1.18	-265.02850474558534	-0.4644194164078875	-7383521993891633e-27	4113790143943779e-34
1.185	-265.0275710310608	-0.46370601750720086	-41405541747823196e-29	38034122823480343e-35
1.19	-265.02647545832394	-0.4630209976548018	-2041122407455599e-27	38447317591914337e-35
1.195	-265.02526999154725	-0.4623924019916348	-12096970926243373e-27	41578917394557243e-35
1.2	-265.02401241353454	-0.46184432609310244	-3007319380492208e-26	3854740411241921e-34
1.205	-265.0227636252025	-0.4613960592560232	-5514410055175605e-26	3966122579693951e-34
1.21	-265.02158475835455	-0.4610614989752824	-862028276505286e-25	3910863304834617e-34
1.215	-265.02053423940026	-0.4608488480236024	-12190860335187911e-26	41219911193132445e-35
1.22	-265.01966494541693	-0.460760591067846	-16074313246874984e-26	4164558692655904e-34
1.225	-265.0190215917149	-0.4607937342848582	-20107371049202656e-26	4168824041410026e-34
1.23	-265.01863848023413	-0.4609402796136456	-24122042397666467e-26	4216440060199832e-34
1.235	-265.01853772258505	-0.4611878956182254	-2795246534978994e-25	41226070484747303e-35
1.24	-265.01872802961213	-0.46152073980892105	-3144160900415387e-25	4108363485660903e-34
1.245	-265.01920413325263	-0.46192038290052506	-344475560127872e-24	40616671253295e-32
1.25	-265.0199468765571	-0.4623667839323165	-3684911690776376e-25	39708344361224325e-35
1.255	-265.0209239756879	-0.4628392663432134	-38550557658374955e-26	36186778263791733e-35
1.26	-265.0220914252993	-0.46331744875029357	-39485258888487864e-26	38406338033655453e-35
1.265	-265.02339548700115	-0.46378208996290265	-39618171365262376e-26	38996539320092265e-35
1.27	-265.0247751716165	-0.46421581522719085	-38946979686626817e-26	41361507984364364e-35
1.275	-265.0261651011616	-0.4646036993209401	-37501941275502726e-26	4283677244326828e-34
1.28	-265.0274986161303	-0.46493369135583035	-3534441608280941e-25	3820597300736726e-34
1.285	-265.02871098089315	-0.4651968754490311	-32564154275875576e-26	3820096764010653e-34
1.29	-265.02974253282923	-0.46538757027619626	-2927546313005954e-25	4073165132871632e-34
1.295	-265.03054162231683	-0.46550327846016004	-25612411615718615e-26	4406720107056568e-34
1.3	-265.031067198592	-0.4655445034028603	-21723270351102714e-26	42114167620727066e-35
1.305	-265.031290912371	-0.46551445625829685	-17764415922290413e-26	4215224558805532e-34
1.31	-265.03119862783285	-0.4654186791009618	-13893947178808046e-26	41761192177981816e-35
1.315	-265.03079126414923	-0.46526461191373353	-10265272979562938e-26	39155770953743437e-35
1.32	-265.0300849182757	-0.465061130856075	-7020931144409906e-26	40500421871472604e-35
1.325	-265.02911025512594	-0.4648180835330542	-4286887613591481e-26	40015620533286377e-35
1.33	-265.02791118657296	-0.46454584390880294	-2167544812162983e-26	3933583423873276e-34
1.335	-265.0265428954673	-0.46425490540097203	-7416580164231491e-27	40341855483919273e-35
1.34	-265.02506929328933	-0.4639555259051077	-5932047710869477e-28	41484797074114254e-35
1.345	-265.02356002852264	-0.46365743339814364	-14013326472389559e-28	3884476409497629e-34
1.35	-265.02208718572956	-0.46336959572116987	-9726264050832087e-27	37788582825256954e-35
1.355	-265.02072183207906	-0.4631000534796299	-2514946028874209e-26	37166086970226077e-35
1.36	-265.01953057689036	-0.4628558110092784	-46967702432612706e-27	3817781090616785e-34
1.365	-265.0185723109889	-0.4626427772626669	-7422366277361367e-26	4117606848142125e-34
