L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
3.975   -63.23377496381558  -0.6459327577684545 -0.012985210493840629   -0.17425838630354976    34977606352978655e-35   0.5275201341195143
4   -63.233778762031875 -0.645948856603146  -0.012872468679022635   -0.17425830000825332    3564997651911291e-34    0.5275591735760045
4.025   -63.233782569230556 -0.6459637026325719 -0.012634821006430805   -0.17426208765286086    35174383165410126e-35   0.5275935735202122
4.05    -63.23378638041419  -0.645976675227699  -0.012274878902620695   -0.17426952861887943    3569048720491921e-34    0.5276235926046946
4.075   -63.23379018962419  -0.6459872342435884 -0.01179641762301059    -0.17428027344951333    3622261466527709e-34    0.5276496911794206
4.1 -63.23379398944219  -0.645994940641042  -0.011204339589694858   -0.17429385464109307    35761474469606053e-35   0.5276725118506297
4.125   -63.233797770544754 -0.6459994729200007 -0.010504627200793247   -0.17430970180334676    36922639468354604e-35   0.5276928529499995
4.15    -63.233801521328395 -0.6460006387542988 -0.009704285506797514   -0.1743271606415837 37080416711493934e-35   0.5277116359434657
4.175   -63.23380522761414  -0.6459983814122312 -0.00881127524398474    -0.17434551505878504    36258045177736055e-35   0.5277298680536602
4.2 -63.23380887244007  -0.6459927807563357 -0.007834436806653518   -0.1743640115712138 36631893586276067e-35   0.5277486015667268
4.225   -63.23381243595266  -0.6459840488315719 -0.006783405827470381   -0.17438188512852548    36609562421941904e-35   0.5277688914326629
4.25    -63.233815895395374 -0.645972520263986  -0.005668521118153778   -0.17439838539034133    36973053713772203e-35   0.5277917528403097
4.275   -63.233819225202076 -0.6459586378950912 -0.0045007257996878885  -0.1744128024779965 35031092338076176e-35   0.527818120448686
4.3 -63.23382239719173  -0.6459429342609204 -0.0032914625217755323  -0.17442449125072892    3549941140940728e-34    0.527848810883731
4.325   -63.233825380867714 -0.6459260096836483 -0.0020525637342808803  -0.1744328932051426 37850121277877124e-35   0.5278844899665953
4.35    -63.23382814380846  -0.6459085078706512 -0.0007961380281196019  -0.17443755518505252    4156980504320317e-34    0.5279256459331768
4.375   -63.233830652149166 -0.6458910900064382 0.0004655463911256142   -0.17443814421047787    461692522031636e-33 0.5279725696450841
4.4 -63.23383287114158  -0.6458744083742886 0.0017201799972552684   -0.1744344578822099 512921976429984e-33 0.5280253424946331
4.425   -63.2338347657844   -0.6458590805541429 0.002955530879646744    -0.17442642998282998    5935922236146818e-34    0.5280838323868372
4.45    -63.23383630151078  -0.6458456652117959 0.004159563180761626    -0.1744141310818549 6813544094600289e-34    0.5281476978565129
4.475   -63.233837444915714 -0.6458346404233872 0.005320553889397644    -0.17439776413964775    797517667635227e-33 0.5282164000636252
4.5 -63.23383816450953  -0.6458263853711522 0.006427206851479004    -0.17437765529740418    9341836875054411e-34    0.5282892221176917
4.525   -63.2338384314845   -0.6458211661067121 0.007468762878123597    -0.17435424022447504    11036832906337758e-34   0.5283652949216797
4.55    -63.23383822047308  -0.6458191259117042 0.008435104860536115    -0.17432804656317571    1294246806223455e-33    0.528443628503808
4.575   -63.233837510288794 -0.6458202805999682 0.00931685684222491 -0.17429967316198675    15227135363607696e-34   0.5285231476263368
4.6 -63.233836284614895 -0.6458245189072522 0.010105476051398598    -0.1742697669089876 1781792697540036e-33    0.52860273032686
4.625   -63.23383453265109  -0.6458316079128679 0.010793336958612058    -0.17423899806973864    20844999391387044e-34   0.528681247961041
4.65    -63.23383224967998  -0.6458412032387038 0.011373806498156972    -0.17420803508905228    24288870662622153e-34   0.528757605279125
